gene_ID	protein_ID
gene_1264	1979824
gene_1265	1979825
gene_1266	1979826
gene_1267	1979827
gene_1268	1979828
gene_1269	1979829
gene_1270	1979830
gene_1271	1979831
gene_1272	1979832
gene_1273	1979833
gene_1274	1979834
gene_1275	1979835
gene_1276	1979836
gene_1277	1979837
gene_1278	1979838
gene_1279	1979839
gene_1280	1979840
gene_1281	1979841
gene_1282	1979842
gene_1283	1979843
gene_1284	1979844
gene_1285	1979845
gene_1286	1979846
gene_1287	1979847
gene_1288	1979848
gene_1289	1979849
gene_1290	1979850
gene_1291	1979851
gene_1292	1979852
gene_1293	1979853
gene_1294	1979854
gene_1295	1979855
gene_1296	1979856
gene_1297	1979857
gene_1298	1979858
gene_1299	1979859
gene_1300	1979860
gene_1301	1979861
gene_1302	1979862
gene_1303	1979863
gene_1304	1979864
gene_1305	1979865
gene_1306	1979866
gene_1307	1979867
gene_1308	1979868
gene_1309	1979869
gene_1310	1979870
gene_1311	1979871
gene_1312	1979872
gene_1313	1979873
gene_1314	1979874
gene_1315	1979875
gene_1316	1979876
gene_1317	1979877
gene_1318	1979878
gene_1319	1979879
gene_1320	1979880
gene_1321	1979881
gene_1322	1979882
gene_1323	1979883
gene_1324	1979884
gene_1325	1979885
gene_1326	1979886
gene_1327	1979887
gene_1328	1979888
gene_1329	1979889
gene_1330	1979890
gene_1331	1979891
gene_1332	1979892
gene_1333	1979893
gene_1334	1979894
gene_1335	1979895
gene_1336	1979896
gene_1337	1979897
gene_1338	1979898
gene_1339	1979899
gene_1340	1979900
gene_1341	1979901
gene_1342	1979902
gene_1343	1979903
gene_1344	1979904
gene_1345	1979905
gene_1346	1979906
gene_1347	1979907
gene_1348	1979908
gene_1349	1979909
gene_1350	1979910
gene_1351	1979911
gene_1352	1979912
gene_1353	1979913
gene_1354	1979914
gene_1355	1979915
gene_1356	1979916
gene_1357	1979917
gene_1358	1979918
gene_1359	1979919
gene_1360	1979920
gene_1361	1979921
gene_1362	1979922
gene_1363	1979923
gene_1364	1979924
gene_1365	1979925
gene_1366	1979926
gene_1367	1979927
gene_1368	1979928
gene_1369	1979929
gene_1370	1979930
gene_1371	1979931
gene_1372	1979932
gene_1373	1979933
gene_1374	1979934
gene_1375	1979935
gene_1376	1979936
gene_1377	1979937
gene_1378	1979938
gene_1379	1979939
gene_1380	1979940
gene_1381	1979941
gene_1382	1979942
gene_1383	1979943
gene_1384	1979944
gene_1385	1979945
gene_1386	1979946
gene_1387	1979947
gene_1388	1979948
gene_1389	1979949
gene_1390	1979950
gene_1391	1979951
gene_1392	1979952
gene_1393	1979953
gene_1394	1979954
gene_1395	1979955
gene_1396	1979956
gene_1397	1979957
gene_1398	1979958
gene_1399	1979959
gene_1400	1979960
gene_1401	1979961
gene_1402	1979962
gene_1403	1979963
gene_1404	1979964
gene_1405	1979965
gene_1406	1979966
gene_1407	1979967
gene_1408	1979968
gene_1409	1979969
gene_1410	1979970
gene_1411	1979971
gene_1412	1979972
gene_1413	1979973
gene_1414	1979974
gene_1415	1979975
gene_1416	1979976
gene_1417	1979977
gene_1418	1979978
gene_1419	1979979
gene_1420	1979980
gene_1421	1979981
gene_1422	1979982
gene_1423	1979983
gene_1424	1979984
gene_1425	1979985
gene_1426	1979986
gene_1427	1979987
gene_1428	1979988
gene_1429	1979989
gene_1430	1979990
gene_1431	1979991
gene_1432	1979992
gene_1433	1979993
gene_1434	1979994
gene_1435	1979995
gene_1436	1979996
gene_1437	1979997
gene_1438	1979998
gene_1439	1979999
gene_1440	1980000
gene_1441	1980001
gene_1442	1980002
gene_1443	1980003
gene_1444	1980004
gene_1445	1980005
gene_1446	1980006
gene_1447	1980007
gene_1448	1980008
gene_1449	1980009
gene_1450	1980010
gene_1451	1980011
gene_1452	1980012
gene_1453	1980013
gene_1454	1980014
gene_1455	1980015
gene_1456	1980016
gene_1457	1980017
gene_1458	1980018
gene_1459	1980019
gene_1460	1980020
gene_1461	1980021
gene_1462	1980022
gene_1463	1980023
gene_1464	1980024
gene_1465	1980025
gene_1466	1980026
gene_1467	1980027
gene_1468	1980028
gene_1469	1980029
gene_1470	1980030
gene_1471	1980031
gene_1472	1980032
gene_1473	1980033
gene_1474	1980034
gene_1475	1980035
gene_1476	1980036
gene_1477	1980037
gene_1478	1980038
gene_1479	1980039
gene_1480	1980040
gene_1481	1980041
gene_1482	1980042
gene_1483	1980043
gene_1484	1980044
gene_1485	1980045
gene_1486	1980046
gene_1487	1980047
gene_1488	1980048
gene_1489	1980049
gene_1490	1980050
gene_1491	1980051
gene_1492	1980052
gene_1493	1980053
gene_1494	1980054
gene_1495	1980055
